respondent_id,credential_motivation,motivation_type,community_feature_appeal,subscription_wtp,subscription_wtp_numeric,artbox_wtp,artbox_wtp_numeric,purchase_style,session_format_preference,preferred_session_duration,tech_comfort_score_s2,concept_nps_score,top_valued_feature,gifting_intent,open_conversion_requirement,referral_propensity,subscription_intent_label
AURA_1180,Moderate,Intrinsic_Skill,,Below_99,60,499_799,649,Offer_Driven,Guided_Stepwise,45_min,4,9,Indian_Art_Content,Maybe,I want to see my progress visually tracked over time,Maybe,Not_Interested_Sub
AURA_0983,Strong_Yes,Quality_Time,No,Below_99,60,Below_299,199,Impulse,Meditative,60_min,4,7,Pod_Aesthetics,Definitely,"The pod should feel like a premium spa, not a DIY store",No,Not_Interested_Sub
AURA_1046,Moderate,Intrinsic_Skill,Neutral,Below_99,60,299_499,399,Impulse,Guided_Freestyle,60_min,5,10,Skill_Progress,Definitely,Good quality brushes and paints — not cheap materials,Maybe,Not_Interested_Sub
AURA_1628,LinkedIn_Only,Intrinsic_Skill,Neutral,349_499,424,299_499,399,Impulse,Meditative,45_min,5,8,Supply_Quality,Maybe,Clean and hygienic environment is non-negotiable,Maybe,Pay_Per_Session
AURA_1406,LinkedIn_Only,Status_Signal,Yes_Strongly,Below_99,60,499_799,649,Planned,Meditative,90_min,4,7,AI_Coaching,Maybe,Location in Phoenix Mall Wakad would be perfect,Maybe,Pay_Per_Session
AURA_0259,Moderate,Intrinsic_Skill,Neutral,349_499,424,Below_299,199,Planned,Guided_Freestyle,20_min,4,9,Supply_Quality,Maybe,"I want to learn Madhubani properly, not just doodle",Definitely,Pay_Per_Session
AURA_0186,Not_Motivated,Wellness,No,199_349,274,No_Box,0,Planned,Challenge_Mode,90_min,4,7,Pod_Aesthetics,Maybe,"I want to learn Madhubani properly, not just doodle",Definitely,Subscribe_Immediately
AURA_0516,Strong_Yes,Intrinsic_Skill,Yes_Somewhat,99_199,149,299_499,399,Planned,Challenge_Mode,90_min,4,9,Pod_Aesthetics,Maybe,"The pod should feel like a premium spa, not a DIY store",Definitely,Pay_Per_Session
AURA_0445,Moderate,Intrinsic_Skill,Yes_Somewhat,199_349,274,499_799,649,Social_Proof,Guided_Stepwise,20_min,2,8,Supply_Quality,Probably,"The pod should feel like a premium spa, not a DIY store",Definitely,Try_Free_Trial
AURA_0822,Strong_Yes,Social_Content,Neutral,99_199,149,799_1199,999,Social_Proof,Guided_Freestyle,20_min,5,8,Pod_Aesthetics,Maybe,The artwork should be worth showing — printable quality,Probably,Try_Free_Trial
AURA_0566,Strong_Yes,Social_Content,Yes_Strongly,349_499,424,299_499,399,Offer_Driven,Guided_Stepwise,90_min,5,8,Pod_Aesthetics,Maybe,"The pod should feel like a premium spa, not a DIY store",Definitely,Try_Free_Trial
AURA_1030,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,349_499,424,799_1199,999,Planned,Guided_Freestyle,45_min,5,9,Supply_Quality,Probably,Clean and hygienic environment is non-negotiable,Probably,Pay_Per_Session
AURA_1268,Moderate,Intrinsic_Skill,Neutral,Above_499,599,499_799,649,Offer_Driven,Challenge_Mode,45_min,5,8,AI_Coaching,Definitely,Would love a monthly challenge or competition,Maybe,Try_Free_Trial
AURA_1500,Moderate,Intrinsic_Skill,No,Below_99,60,299_499,399,Impulse,Guided_Stepwise,45_min,4,9,Indian_Art_Content,Maybe,"The pod should feel like a premium spa, not a DIY store",Definitely,Subscribe_Immediately
AURA_0024,Not_Motivated,Wellness,Yes_Strongly,349_499,424,299_499,399,Social_Proof,Meditative,45_min,5,8,Pod_Aesthetics,Probably,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_0309,Moderate,Wellness,Yes_Somewhat,Below_99,60,499_799,649,Impulse,Challenge_Mode,45_min,4,9,Community_Gallery,Maybe,"I want to learn Madhubani properly, not just doodle",Maybe,Try_Free_Trial
AURA_1133,LinkedIn_Only,Quality_Time,No,349_499,424,No_Box,0,Offer_Driven,Guided_Freestyle,60_min,5,10,Supply_Quality,,Need to support Hindi language tutorials,Definitely,Try_Free_Trial
AURA_1932,Strong_Yes,Wellness,Yes_Strongly,99_199,149,,649,Impulse,Guided_Freestyle,90_min,3,9,AI_Coaching,Definitely,Integration with Instagram for direct sharing would be amazing,Definitely,Try_Free_Trial
AURA_1942,Moderate,Quality_Time,Yes_Somewhat,99_199,149,499_799,649,Impulse,Guided_Stepwise,90_min,4,9,Indian_Art_Content,Probably,Clean and hygienic environment is non-negotiable,Probably,Not_Interested_Sub
AURA_1070,Strong_Yes,Social_Content,No,199_349,274,799_1199,999,Social_Proof,Meditative,90_min,5,7,Pod_Aesthetics,No,Price must be under 500 for me to try it first,Definitely,Try_Free_Trial
AURA_1582,Strong_Yes,Wellness,Yes_Strongly,No_Subscription,0,499_799,649,Impulse,Guided_Freestyle,60_min,5,8,Indian_Art_Content,Maybe,Would love a monthly challenge or competition,Probably,Try_Free_Trial
AURA_1979,LinkedIn_Only,Wellness,Yes_Strongly,349_499,424,299_499,399,Social_Proof,Meditative,90_min,4,8,Skill_Progress,Probably,Would love a monthly challenge or competition,Maybe,Subscribe_Immediately
AURA_0517,Moderate,Intrinsic_Skill,Neutral,Below_99,60,299_499,399,Planned,Guided_Stepwise,60_min,4,9,Pod_Aesthetics,Probably,Would love a monthly challenge or competition,Probably,Not_Interested_Sub
AURA_0777,LinkedIn_Only,Intrinsic_Skill,Yes_Strongly,199_349,274,,399,Social_Proof,Challenge_Mode,90_min,5,8,Pod_Aesthetics,Probably,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_1998,Strong_Yes,Intrinsic_Skill,Yes_Strongly,Below_99,60,299_499,399,Planned,Challenge_Mode,45_min,3,10,AI_Coaching,No,The artwork should be worth showing — printable quality,Definitely,Pay_Per_Session
AURA_0077,LinkedIn_Only,Quality_Time,Yes_Strongly,349_499,424,299_499,399,Planned,Guided_Freestyle,45_min,4,7,Community_Gallery,Probably,Would love a monthly challenge or competition,Definitely,Try_Free_Trial
AURA_1852,Moderate,Wellness,Yes_Somewhat,349_499,424,Below_299,199,Planned,Guided_Stepwise,45_min,2,10,Community_Gallery,Maybe,Need to support Hindi language tutorials,Probably,Not_Interested_Sub
AURA_1016,Not_Motivated,Social_Content,Yes_Somewhat,99_199,149,799_1199,999,Impulse,Guided_Stepwise,45_min,3,7,Supply_Quality,Probably,I'd love a date night version with my partner,Definitely,Not_Interested_Sub
AURA_1984,Strong_Yes,Quality_Time,Yes_Strongly,349_499,424,499_799,649,Impulse,Guided_Freestyle,90_min,4,9,Supply_Quality,Maybe,Clean and hygienic environment is non-negotiable,Maybe,Try_Free_Trial
AURA_0678,Strong_Yes,Social_Content,No,349_499,424,299_499,399,Planned,Guided_Stepwise,45_min,5,9,Supply_Quality,Maybe,Need to support Hindi language tutorials,Probably,Try_Free_Trial
AURA_0743,Not_Motivated,Intrinsic_Skill,Yes_Strongly,99_199,149,799_1199,999,Social_Proof,Guided_Freestyle,60_min,4,9,Skill_Progress,Maybe,Good quality brushes and paints — not cheap materials,Probably,Subscribe_Immediately
AURA_0160,Moderate,Status_Signal,Yes_Strongly,349_499,424,299_499,399,Offer_Driven,Guided_Freestyle,90_min,2,9,Pod_Aesthetics,Probably,"I want to learn Madhubani properly, not just doodle",Maybe,Pay_Per_Session
AURA_0878,Strong_Yes,Status_Signal,Neutral,349_499,424,No_Box,0,Planned,Guided_Stepwise,90_min,4,7,Indian_Art_Content,Maybe,The AI coaching should feel like a real teacher,Probably,Try_Free_Trial
AURA_1002,Not_Motivated,Intrinsic_Skill,Yes_Strongly,349_499,424,Below_299,199,Offer_Driven,Guided_Stepwise,60_min,4,8,Indian_Art_Content,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Subscribe_Immediately
AURA_1754,LinkedIn_Only,Quality_Time,No,199_349,274,299_499,399,Offer_Driven,Guided_Freestyle,90_min,5,9,Indian_Art_Content,Maybe,Location in Phoenix Mall Wakad would be perfect,No,Try_Free_Trial
AURA_0867,Moderate,Quality_Time,Yes_Somewhat,99_199,149,Below_299,199,Offer_Driven,Guided_Stepwise,45_min,3,10,Community_Gallery,Definitely,"I want to learn Madhubani properly, not just doodle",Probably,Not_Interested_Sub
AURA_1520,Strong_Yes,Intrinsic_Skill,Yes_Somewhat,349_499,424,299_499,399,Planned,Guided_Freestyle,90_min,3,9,Community_Gallery,Definitely,Corporate team building package must have good group pricing,Maybe,Subscribe_Immediately
AURA_0798,LinkedIn_Only,Wellness,Yes_Somewhat,349_499,424,499_799,649,Social_Proof,Guided_Freestyle,45_min,4,9,Indian_Art_Content,Maybe,Corporate team building package must have good group pricing,Probably,Pay_Per_Session
AURA_0211,Not_Motivated,Quality_Time,Yes_Somewhat,199_349,274,Below_299,199,Impulse,Guided_Stepwise,60_min,2,8,AI_Coaching,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Pay_Per_Session
AURA_1294,Not_Motivated,Social_Content,No,Above_499,599,299_499,399,Impulse,Challenge_Mode,45_min,4,9,Indian_Art_Content,Probably,The AI coaching should feel like a real teacher,Maybe,Try_Free_Trial
AURA_1485,Moderate,Quality_Time,Yes_Strongly,199_349,274,799_1199,999,Impulse,Meditative,45_min,4,8,Supply_Quality,Definitely,Location in Phoenix Mall Wakad would be perfect,Definitely,Pay_Per_Session
AURA_1318,Moderate,Intrinsic_Skill,Neutral,99_199,149,Below_299,199,Planned,Challenge_Mode,90_min,4,10,Skill_Progress,Definitely,Price must be under 500 for me to try it first,No,Not_Interested_Sub
AURA_0896,Strong_Yes,Wellness,Yes_Strongly,199_349,274,299_499,399,Impulse,Guided_Freestyle,60_min,4,7,AI_Coaching,Probably,Price must be under 500 for me to try it first,Definitely,Pay_Per_Session
AURA_0795,Moderate,Quality_Time,No,99_199,149,499_799,649,Planned,Challenge_Mode,45_min,5,9,Skill_Progress,Probably,Would love a monthly challenge or competition,Probably,Pay_Per_Session
AURA_1366,Moderate,Social_Content,Yes_Strongly,Above_499,599,299_499,399,Social_Proof,Guided_Stepwise,90_min,4,7,AI_Coaching,Probably,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_1043,LinkedIn_Only,Intrinsic_Skill,,Above_499,599,No_Box,0,Offer_Driven,Challenge_Mode,45_min,4,10,Supply_Quality,Definitely,Good quality brushes and paints — not cheap materials,Maybe,Subscribe_Immediately
AURA_0913,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,349_499,424,499_799,649,Impulse,Guided_Freestyle,45_min,5,10,Supply_Quality,Probably,Good quality brushes and paints — not cheap materials,No,Try_Free_Trial
AURA_0965,Moderate,Wellness,Neutral,99_199,149,No_Box,0,Offer_Driven,Guided_Freestyle,60_min,4,8,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,Maybe,Subscribe_Immediately
AURA_0321,Strong_Yes,Status_Signal,Neutral,199_349,274,299_499,399,Impulse,Guided_Stepwise,60_min,3,7,Indian_Art_Content,Definitely,Kids mode is a must for my family visits,Maybe,Try_Free_Trial
AURA_0098,Moderate,Quality_Time,Yes_Strongly,Below_99,60,Below_299,199,Social_Proof,Guided_Stepwise,90_min,3,7,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,No,Try_Free_Trial
AURA_0252,Strong_Yes,Intrinsic_Skill,Neutral,No_Subscription,0,299_499,399,Offer_Driven,Challenge_Mode,45_min,4,8,Supply_Quality,,Kids mode is a must for my family visits,No,Not_Interested_Sub
AURA_0859,Strong_Yes,Status_Signal,Yes_Somewhat,199_349,274,299_499,399,Social_Proof,Guided_Freestyle,45_min,4,9,Pod_Aesthetics,Probably,I'd love a date night version with my partner,Maybe,Try_Free_Trial
AURA_0920,Strong_Yes,Social_Content,Yes_Somewhat,99_199,149,799_1199,999,Planned,Guided_Stepwise,45_min,5,10,Supply_Quality,Maybe,Need to support Hindi language tutorials,Definitely,Try_Free_Trial
AURA_1609,LinkedIn_Only,Social_Content,Neutral,349_499,424,Below_299,199,Impulse,Meditative,60_min,5,8,Supply_Quality,Probably,Clean and hygienic environment is non-negotiable,Maybe,Pay_Per_Session
AURA_0891,Strong_Yes,Intrinsic_Skill,Yes_Strongly,No_Subscription,0,499_799,649,Planned,Meditative,60_min,3,7,AI_Coaching,Probably,Good quality brushes and paints — not cheap materials,Definitely,Pay_Per_Session
AURA_0849,Strong_Yes,Wellness,Neutral,Below_99,60,No_Box,0,Planned,Guided_Stepwise,60_min,2,10,,No,Kids mode is a must for my family visits,Probably,Pay_Per_Session
AURA_1334,Strong_Yes,Wellness,Yes_Strongly,199_349,274,299_499,399,Planned,Challenge_Mode,60_min,4,9,Supply_Quality,Definitely,I want to see my progress visually tracked over time,Probably,Subscribe_Immediately
AURA_0295,Not_Motivated,Status_Signal,No,349_499,424,499_799,649,Impulse,Guided_Stepwise,90_min,4,9,AI_Coaching,,The artwork should be worth showing — printable quality,Maybe,Try_Free_Trial
AURA_0440,Strong_Yes,Wellness,Neutral,Below_99,60,No_Box,0,Impulse,Meditative,45_min,3,7,Community_Gallery,No,The AI coaching should feel like a real teacher,Probably,Pay_Per_Session
AURA_1753,Moderate,Intrinsic_Skill,Yes_Somewhat,No_Subscription,0,299_499,399,Social_Proof,Challenge_Mode,90_min,4,7,Supply_Quality,Maybe,The artwork should be worth showing — printable quality,Maybe,Not_Interested_Sub
AURA_1583,LinkedIn_Only,Social_Content,Yes_Somewhat,349_499,424,299_499,399,Offer_Driven,Guided_Freestyle,45_min,5,9,Supply_Quality,Probably,Would love a monthly challenge or competition,Definitely,Pay_Per_Session
AURA_0444,Moderate,Social_Content,,Below_99,60,499_799,649,Offer_Driven,Guided_Freestyle,45_min,5,10,Skill_Progress,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Try_Free_Trial
AURA_1445,Strong_Yes,Quality_Time,Yes_Strongly,99_199,149,No_Box,0,Offer_Driven,Challenge_Mode,45_min,2,9,Indian_Art_Content,Maybe,Good quality brushes and paints — not cheap materials,No,Try_Free_Trial
AURA_1247,Strong_Yes,Intrinsic_Skill,Yes_Strongly,349_499,424,499_799,649,Planned,Guided_Freestyle,45_min,5,8,Skill_Progress,Probably,Location in Phoenix Mall Wakad would be perfect,Maybe,Try_Free_Trial
AURA_1815,LinkedIn_Only,Status_Signal,Neutral,349_499,424,499_799,649,Impulse,Guided_Stepwise,60_min,4,9,Supply_Quality,Probably,Good quality brushes and paints — not cheap materials,Maybe,Pay_Per_Session
AURA_0789,Strong_Yes,Social_Content,Yes_Strongly,99_199,149,499_799,649,Impulse,Challenge_Mode,60_min,4,9,Indian_Art_Content,Definitely,Corporate team building package must have good group pricing,Probably,Pay_Per_Session
AURA_0434,Strong_Yes,Social_Content,Yes_Somewhat,199_349,274,Below_299,199,Social_Proof,Guided_Freestyle,90_min,4,8,Pod_Aesthetics,Maybe,The AI coaching should feel like a real teacher,Maybe,Subscribe_Immediately
AURA_0769,Strong_Yes,Status_Signal,,99_199,149,799_1199,999,Impulse,Guided_Freestyle,60_min,5,8,,Maybe,"The pod should feel like a premium spa, not a DIY store",Definitely,Not_Interested_Sub
AURA_0774,Moderate,Wellness,,349_499,424,299_499,399,Social_Proof,Challenge_Mode,60_min,5,8,Pod_Aesthetics,Definitely,The AI coaching should feel like a real teacher,Probably,Subscribe_Immediately
AURA_0088,LinkedIn_Only,Quality_Time,Yes_Somewhat,99_199,149,No_Box,0,Planned,Guided_Freestyle,60_min,4,8,AI_Coaching,Definitely,The AI coaching should feel like a real teacher,Probably,Try_Free_Trial
AURA_1543,Strong_Yes,Social_Content,Yes_Somewhat,199_349,274,799_1199,999,Planned,Guided_Stepwise,60_min,2,8,Indian_Art_Content,No,Need to support Hindi language tutorials,Probably,Subscribe_Immediately
AURA_1939,Moderate,Status_Signal,Yes_Somewhat,349_499,424,499_799,649,Planned,Guided_Stepwise,20_min,5,10,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,Maybe,Try_Free_Trial
AURA_0738,Not_Motivated,Wellness,No,99_199,149,799_1199,999,Social_Proof,Guided_Stepwise,90_min,5,9,Indian_Art_Content,Definitely,Would love a monthly challenge or competition,Probably,Pay_Per_Session
AURA_1378,Strong_Yes,Intrinsic_Skill,Neutral,349_499,424,299_499,399,Impulse,Meditative,60_min,2,10,Pod_Aesthetics,Definitely,I want to see my progress visually tracked over time,Definitely,Pay_Per_Session
AURA_1812,Not_Motivated,Quality_Time,Neutral,349_499,424,,649,Social_Proof,Guided_Stepwise,60_min,5,9,Community_Gallery,Probably,The artwork should be worth showing — printable quality,No,Try_Free_Trial
AURA_0296,LinkedIn_Only,Wellness,Neutral,199_349,274,299_499,399,Social_Proof,Guided_Freestyle,60_min,4,7,Supply_Quality,Definitely,Clean and hygienic environment is non-negotiable,Probably,Try_Free_Trial
AURA_0154,Not_Motivated,Intrinsic_Skill,Yes_Strongly,199_349,274,,649,Social_Proof,Challenge_Mode,60_min,5,8,AI_Coaching,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Subscribe_Immediately
AURA_1473,Strong_Yes,Status_Signal,Yes_Strongly,Below_99,60,799_1199,999,Planned,Guided_Stepwise,90_min,2,10,Supply_Quality,,Kids mode is a must for my family visits,Definitely,Not_Interested_Sub
AURA_0591,LinkedIn_Only,Intrinsic_Skill,Neutral,199_349,274,499_799,649,Offer_Driven,Guided_Stepwise,60_min,4,10,Supply_Quality,No,I'd love a date night version with my partner,Probably,Try_Free_Trial
AURA_0721,LinkedIn_Only,Wellness,Neutral,349_499,424,299_499,399,Social_Proof,Guided_Stepwise,60_min,2,8,Pod_Aesthetics,Maybe,"The pod should feel like a premium spa, not a DIY store",Probably,Try_Free_Trial
AURA_0012,Moderate,Social_Content,Yes_Somewhat,99_199,149,499_799,649,Planned,Challenge_Mode,60_min,3,8,Indian_Art_Content,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Pay_Per_Session
AURA_1412,LinkedIn_Only,Social_Content,Yes_Somewhat,99_199,149,499_799,649,Planned,Guided_Stepwise,90_min,5,9,Skill_Progress,Maybe,"I want to learn Madhubani properly, not just doodle",Probably,Pay_Per_Session
AURA_0544,Not_Motivated,Social_Content,No,349_499,424,499_799,649,Planned,Guided_Stepwise,20_min,5,7,Supply_Quality,Maybe,The AI coaching should feel like a real teacher,Probably,Pay_Per_Session
AURA_0015,Moderate,Wellness,No,No_Subscription,0,799_1199,999,Planned,Guided_Freestyle,45_min,4,9,AI_Coaching,,Kids mode is a must for my family visits,Probably,Pay_Per_Session
AURA_1239,Not_Motivated,Quality_Time,Neutral,Below_99,60,,649,Social_Proof,Guided_Stepwise,90_min,2,9,Supply_Quality,Maybe,I'd love a date night version with my partner,Maybe,Not_Interested_Sub
AURA_1861,Moderate,Quality_Time,Yes_Somewhat,349_499,424,799_1199,999,Impulse,Guided_Stepwise,90_min,4,7,Skill_Progress,Probably,I'd love a date night version with my partner,Maybe,Pay_Per_Session
AURA_0159,Strong_Yes,Wellness,Yes_Strongly,199_349,274,299_499,399,Social_Proof,Meditative,60_min,5,10,Skill_Progress,Definitely,Corporate team building package must have good group pricing,Maybe,Subscribe_Immediately
AURA_0974,Moderate,Wellness,Yes_Strongly,Below_99,60,299_499,399,Planned,Meditative,20_min,5,7,Community_Gallery,Probably,Clean and hygienic environment is non-negotiable,Maybe,Try_Free_Trial
AURA_0602,LinkedIn_Only,Social_Content,Yes_Strongly,Above_499,599,,649,Social_Proof,Guided_Freestyle,20_min,5,8,Indian_Art_Content,Probably,Need to support Hindi language tutorials,Probably,Try_Free_Trial
AURA_1031,Strong_Yes,Intrinsic_Skill,Neutral,Below_99,60,299_499,399,Impulse,Guided_Freestyle,20_min,4,8,AI_Coaching,Definitely,Corporate team building package must have good group pricing,No,Pay_Per_Session
AURA_0780,Not_Motivated,Wellness,Yes_Strongly,349_499,424,299_499,399,Offer_Driven,Guided_Stepwise,60_min,5,7,Community_Gallery,Maybe,I'd love a date night version with my partner,Definitely,Subscribe_Immediately
AURA_0405,Moderate,Intrinsic_Skill,,Below_99,60,299_499,399,Planned,Meditative,90_min,3,10,AI_Coaching,Probably,Would love a monthly challenge or competition,Probably,Try_Free_Trial
AURA_1160,Moderate,Intrinsic_Skill,,99_199,149,299_499,399,Planned,Guided_Stepwise,45_min,5,9,,Probably,Clean and hygienic environment is non-negotiable,Definitely,Try_Free_Trial
AURA_1127,Moderate,Quality_Time,Yes_Somewhat,Below_99,60,499_799,649,Social_Proof,Challenge_Mode,60_min,4,9,Supply_Quality,,Need to support Hindi language tutorials,Definitely,Subscribe_Immediately
AURA_0900,Moderate,Wellness,Yes_Somewhat,349_499,424,299_499,399,Social_Proof,Guided_Freestyle,20_min,5,9,Pod_Aesthetics,Probably,The AI coaching should feel like a real teacher,No,Try_Free_Trial
AURA_0779,Strong_Yes,Quality_Time,Yes_Somewhat,199_349,274,799_1199,999,Offer_Driven,Guided_Freestyle,60_min,2,7,Pod_Aesthetics,Definitely,"I want to learn Madhubani properly, not just doodle",Maybe,Try_Free_Trial
AURA_0684,LinkedIn_Only,Quality_Time,Neutral,349_499,424,299_499,399,Offer_Driven,Guided_Stepwise,60_min,5,8,Supply_Quality,Maybe,"The pod should feel like a premium spa, not a DIY store",No,Try_Free_Trial
AURA_1509,LinkedIn_Only,Wellness,Yes_Somewhat,99_199,149,,649,Social_Proof,Challenge_Mode,45_min,4,10,Pod_Aesthetics,Maybe,I want to see my progress visually tracked over time,Definitely,Try_Free_Trial
AURA_0027,Not_Motivated,Intrinsic_Skill,No,Above_499,599,799_1199,999,Impulse,Guided_Stepwise,90_min,3,9,Skill_Progress,Definitely,The artwork should be worth showing — printable quality,Definitely,Subscribe_Immediately
AURA_1293,Strong_Yes,Wellness,Yes_Strongly,No_Subscription,0,299_499,399,Social_Proof,Guided_Freestyle,60_min,5,10,AI_Coaching,Probably,Price must be under 500 for me to try it first,Probably,Pay_Per_Session
AURA_1345,Strong_Yes,Wellness,Neutral,Above_499,599,499_799,649,Planned,Guided_Stepwise,20_min,3,10,Pod_Aesthetics,No,"I want to learn Madhubani properly, not just doodle",Definitely,Try_Free_Trial
AURA_1621,Moderate,Quality_Time,Yes_Somewhat,99_199,149,299_499,399,Planned,Guided_Stepwise,20_min,4,9,Indian_Art_Content,Maybe,Corporate team building package must have good group pricing,Maybe,Pay_Per_Session
AURA_0253,Moderate,Wellness,Yes_Somewhat,99_199,149,499_799,649,Planned,Meditative,60_min,3,8,Supply_Quality,Maybe,Need to support Hindi language tutorials,Maybe,Pay_Per_Session
AURA_1579,Strong_Yes,Intrinsic_Skill,,99_199,149,299_499,399,Impulse,Guided_Stepwise,90_min,3,8,AI_Coaching,Probably,The artwork should be worth showing — printable quality,Probably,Pay_Per_Session
AURA_0715,Not_Motivated,Social_Content,No,199_349,274,299_499,399,Social_Proof,Challenge_Mode,45_min,5,8,Pod_Aesthetics,Definitely,Price must be under 500 for me to try it first,Probably,Try_Free_Trial
AURA_1638,Not_Motivated,Social_Content,Neutral,No_Subscription,0,799_1199,999,Impulse,Guided_Stepwise,45_min,4,8,Indian_Art_Content,Definitely,Kids mode is a must for my family visits,Maybe,Subscribe_Immediately
AURA_0050,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,Below_99,60,299_499,399,Offer_Driven,Challenge_Mode,45_min,4,10,AI_Coaching,Probably,"I want to learn Madhubani properly, not just doodle",Probably,Not_Interested_Sub
AURA_0711,Moderate,Quality_Time,Neutral,199_349,274,299_499,399,Planned,Challenge_Mode,90_min,3,10,AI_Coaching,Probably,I want to see my progress visually tracked over time,Maybe,Not_Interested_Sub
AURA_0572,LinkedIn_Only,Wellness,Neutral,99_199,149,299_499,399,Social_Proof,Challenge_Mode,20_min,3,7,Supply_Quality,No,Would love a monthly challenge or competition,Probably,Try_Free_Trial
AURA_0144,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,Above_499,599,299_499,399,Impulse,Guided_Stepwise,90_min,4,7,Supply_Quality,Probably,I'd love a date night version with my partner,Probably,Try_Free_Trial
AURA_1851,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,199_349,274,799_1199,999,Planned,Guided_Freestyle,20_min,4,8,Pod_Aesthetics,Probably,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_1103,Strong_Yes,Status_Signal,Neutral,Below_99,60,299_499,399,Planned,Meditative,20_min,4,9,Pod_Aesthetics,Definitely,Corporate team building package must have good group pricing,Definitely,Pay_Per_Session
AURA_1567,LinkedIn_Only,Wellness,Neutral,Below_99,60,No_Box,0,Planned,Meditative,45_min,5,9,AI_Coaching,Definitely,Good quality brushes and paints — not cheap materials,Definitely,Pay_Per_Session
AURA_1586,LinkedIn_Only,Wellness,Yes_Strongly,199_349,274,499_799,649,Planned,Guided_Stepwise,60_min,4,9,AI_Coaching,Probably,"The pod should feel like a premium spa, not a DIY store",Definitely,Pay_Per_Session
AURA_1872,Strong_Yes,Wellness,No,No_Subscription,0,499_799,649,Social_Proof,Meditative,60_min,3,9,AI_Coaching,Maybe,Location in Phoenix Mall Wakad would be perfect,Maybe,Pay_Per_Session
