respondent_id,aura_interest_label,art_experience_level,art_forms_interest,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising
AURA_0043,Interested,Regular_Hobbyist,Fluid_Pour|Mandala|Resin|Watercolour,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
AURA_0044,Interested,Casual_Hobbyist,Acrylic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
AURA_0045,Interested,Regular_Hobbyist,Calligraphy|Fluid_Pour|Indian_Classical,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
AURA_0046,Interested,Advanced,Acrylic|Fluid_Pour|Indian_Classical|Mandala|Sketching,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1
AURA_0047,Interested,Curious_Beginner,Watercolour,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
AURA_0048,Interested,Regular_Hobbyist,Acrylic|Fluid_Pour|Mandala,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
AURA_0049,Not_Interested,Complete_Beginner,Indian_Classical|Mandala|Sketching|Watercolour,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
AURA_0050,Interested,Regular_Hobbyist,Acrylic|Fluid_Pour|Watercolour,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AURA_0051,Interested,Regular_Hobbyist,Fluid_Pour|Indian_Classical|Resin|Sketching,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1
AURA_0052,Maybe,Curious_Beginner,Fluid_Pour|Indian_Classical|Resin,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
AURA_0053,Interested,Curious_Beginner,Fluid_Pour|Indian_Classical|Resin|Watercolour,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1
AURA_0054,Interested,Curious_Beginner,Fluid_Pour|Indian_Classical|Resin|Watercolour,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1
AURA_0055,Interested,Advanced,Digital_Art|Mandala|Resin|Watercolour,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1
AURA_0056,Maybe,Regular_Hobbyist,Acrylic|Digital_Art|Fluid_Pour|Mandala|Watercolour,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1
AURA_0057,Interested,Casual_Hobbyist,Calligraphy,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1
AURA_0058,Interested,Casual_Hobbyist,Mandala|Resin|Sketching,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
AURA_0059,Interested,Complete_Beginner,Mandala|Sketching,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
AURA_0060,Interested,Casual_Hobbyist,Digital_Art|Indian_Classical|Resin|Watercolour,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
AURA_0061,Interested,Curious_Beginner,Indian_Classical|Mandala,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
AURA_0062,Not_Interested,Curious_Beginner,Acrylic,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
AURA_0063,Not_Interested,Complete_Beginner,Calligraphy|Fluid_Pour|Pottery|Sketching,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0
AURA_0064,Interested,Casual_Hobbyist,Digital_Art|Indian_Classical|Mandala|Watercolour,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AURA_0065,Not_Interested,Casual_Hobbyist,Acrylic|Digital_Art|Fluid_Pour|Mandala|Pottery,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
AURA_0066,Interested,Curious_Beginner,Fluid_Pour,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AURA_0067,Interested,Curious_Beginner,Acrylic|Fluid_Pour|Indian_Classical|Mandala,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
AURA_0068,Maybe,Casual_Hobbyist,Acrylic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
AURA_0069,Interested,Regular_Hobbyist,Digital_Art|Fluid_Pour|Resin|Sketching|Watercolour,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
AURA_0070,Interested,Curious_Beginner,Indian_Classical|Mandala|Pottery|Sketching|Watercolour,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
AURA_0071,Interested,Curious_Beginner,Fluid_Pour,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0
AURA_0072,Interested,Complete_Beginner,Indian_Classical|Resin|Watercolour,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
AURA_0073,Interested,Curious_Beginner,Acrylic|Fluid_Pour|Mandala|Watercolour,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0
AURA_0074,Interested,Casual_Hobbyist,Mandala|Sketching|Watercolour,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
AURA_0075,Maybe,Casual_Hobbyist,Fluid_Pour|Mandala|Sketching,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
AURA_0076,Interested,Casual_Hobbyist,Acrylic|Indian_Classical|Mandala|Watercolour,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
AURA_0077,Interested,Curious_Beginner,Fluid_Pour|Indian_Classical,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AURA_0078,Interested,Regular_Hobbyist,Acrylic|Calligraphy|Mandala|Resin|Sketching,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
AURA_0079,Interested,Curious_Beginner,Calligraphy|Fluid_Pour|Indian_Classical|Watercolour,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
AURA_0080,Not_Interested,Complete_Beginner,Acrylic|Indian_Classical|Mandala|Pottery|Watercolour,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0
AURA_0081,Not_Interested,Complete_Beginner,Mandala|Pottery|Watercolour,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
AURA_0082,Interested,Regular_Hobbyist,Indian_Classical|Sketching,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
AURA_0083,Not_Interested,Casual_Hobbyist,Resin|Sketching|Watercolour,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
AURA_0084,Not_Interested,Curious_Beginner,Indian_Classical|Mandala|Resin|Watercolour,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
AURA_0085,Interested,Regular_Hobbyist,Acrylic,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AURA_0086,Maybe,Complete_Beginner,Acrylic|Calligraphy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
AURA_0087,Interested,Advanced,Calligraphy|Indian_Classical,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
AURA_0088,Interested,Advanced,Digital_Art|Indian_Classical|Mandala|Watercolour,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
AURA_0089,Not_Interested,Casual_Hobbyist,Digital_Art,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
AURA_0090,Interested,Complete_Beginner,Acrylic|Indian_Classical|Resin|Sketching|Watercolour,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0
AURA_0091,Interested,Casual_Hobbyist,Pottery|Watercolour,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
AURA_0092,Interested,Advanced,Calligraphy|Resin,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
AURA_0093,Not_Interested,Complete_Beginner,Fluid_Pour|Mandala|Pottery|Sketching|Watercolour,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
AURA_0094,Interested,Curious_Beginner,Digital_Art|Pottery|Watercolour,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AURA_0095,Interested,Complete_Beginner,Acrylic|Digital_Art|Indian_Classical|Watercolour,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
AURA_0096,Not_Interested,Curious_Beginner,Indian_Classical|Mandala|Pottery|Sketching,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
AURA_0097,Maybe,Casual_Hobbyist,Digital_Art|Indian_Classical|Resin|Watercolour,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
AURA_0098,Interested,Advanced,Calligraphy|Mandala,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
AURA_0099,Interested,Casual_Hobbyist,Mandala|Sketching|Watercolour,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AURA_0100,Interested,Complete_Beginner,Acrylic|Fluid_Pour|Indian_Classical|Resin,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
AURA_0101,Interested,Regular_Hobbyist,Indian_Classical|Sketching,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
AURA_0102,Interested,Curious_Beginner,Fluid_Pour|Indian_Classical|Mandala|Sketching|Watercolour,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
AURA_0103,Interested,Casual_Hobbyist,Calligraphy|Indian_Classical|Sketching,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
AURA_0104,Interested,Regular_Hobbyist,Acrylic|Calligraphy|Fluid_Pour,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
AURA_0105,Interested,Regular_Hobbyist,Fluid_Pour,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
AURA_0106,Interested,Casual_Hobbyist,Acrylic|Resin,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
AURA_0107,Interested,Casual_Hobbyist,Acrylic|Indian_Classical,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
AURA_0108,Interested,Regular_Hobbyist,Digital_Art|Fluid_Pour|Indian_Classical|Pottery|Sketching,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
AURA_0109,Interested,Regular_Hobbyist,Mandala|Resin|Watercolour,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AURA_0110,Not_Interested,Complete_Beginner,Digital_Art|Indian_Classical|Pottery|Watercolour,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
AURA_0111,Interested,Casual_Hobbyist,Calligraphy|Digital_Art|Indian_Classical|Watercolour,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AURA_0112,Maybe,Complete_Beginner,Fluid_Pour|Indian_Classical|Resin,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
AURA_0113,Maybe,Casual_Hobbyist,Acrylic|Digital_Art|Fluid_Pour|Mandala|Watercolour,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
