respondent_id,age_group,gender,city,city_tier,occupation,income_bracket,income_numeric_approx,preferred_language,monthly_leisure_spend,subscription_count,online_exp_purchase_freq,social_platforms,weekend_activities,decision_autonomy,art_experience_level,creative_self_identity,creativity_mindset,social_orientation,reward_preference,social_sharing_propensity,participation_barrier,creative_motivation,art_forms_interest,experiences_tried,product_interest,preferred_visit_time,instagram_influence_score,companion_type,gifting_frequency,travel_tolerance,preferred_pod_location,session_wtp,session_wtp_numeric,monthly_art_spend,discount_preference,price_sensitivity_score,tech_comfort_score,acquisition_source,competitive_substitute,visit_frequency_intent,recommend_likelihood,aura_interest_label,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising
AURA_0018,25_34,Female,Lucknow,Tier2,Salaried_NonIT,50k_1L,75000,Hindi,4300,3_5,Once_month,Instagram|Reels_Shorts,Fitness|Gaming|Mall_Shopping|Music|Socialising,Fully_Independent,Complete_Beginner,Not_Creative,Unsure,Ambivert,Both,Definitely_Post,Not_Interested,Stress_Relief,Digital_Art|Fluid_Pour|Indian_Classical|Sketching,Art_Workshop|Music_Dance|None,Heritage_Kit|Monthly_Box|Resin_Kit|Session_Kit|Sketchbook,Evening|Weekend_Only,4,Partner,Rarely,30min,Mall,700_1200,1199,2000,,3,4,Word_of_Mouth,Cafe_Chill,Occasionally,3,Not_Interested,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1
AURA_0019,25_34,Male,Mumbai,Tier1,Salaried_NonIT,50k_1L,75000,Marathi,5300,1_2,2_3_month,Instagram,Gaming|Mall_Shopping|Movies_OTT|Socialising|Travel,Mention_After,Casual_Hobbyist,Am_Creative,Growth,Ambivert,Instant,Probably_Post,No_Barrier,Pure_Curiosity,Acrylic|Digital_Art|Fluid_Pour|Sketching|Watercolour,Escape_Room|None|Pottery_Studio|Yoga_Wellness,Mandala_Kit|Session_Kit,Evening,4,Friends,Rarely,30min,Standalone_Studio,200_400,386,4750,First_Free,3,4,Word_of_Mouth,Gaming,Occasionally,8,Interested,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
AURA_0020,18_24,Female,Mumbai,Tier1,Student,50k_1L,75000,Hindi,8500,3_5,2_3_month,Instagram,Movies_OTT|Music,Peer_Influenced,Complete_Beginner,Not_Creative,Fixed,Extrovert,Delayed,Probably_Post,Not_Interested,,Fluid_Pour,None|Yoga_Wellness,Heritage_Kit|Monthly_Box|Resin_Kit|Session_Kit,Flexible|Morning,4,Friends,Occasionally,60min,College_Campus,400_700,544,5750,Bundle_Pack,3,4,WhatsApp,Cafe_Chill,Unlikely,1,Not_Interested,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
AURA_0021,25_34,Female,Delhi_NCR,Tier1,Salaried_NonIT,50k_1L,75000,Hindi,2100,3_5,Rarely,Instagram|Reels_Shorts,Dining_Out|Mall_Shopping|Reading|Socialising,Mention_After,Regular_Hobbyist,Am_Creative,Growth,Introvert,Instant,Probably_Post,No_Barrier,Social_Fun,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Watercolour,Music_Dance,Heritage_Kit,Lunch,4,Solo,Occasionally,30min,Standalone_Studio,700_1200,1207,0,Monthly_Pass,3,4,WhatsApp,Cafe_Chill,2_3_month,8,Interested,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
AURA_0022,18_24,Female,Mumbai,Tier1,Self_Employed,Above_2L,300000,Marathi,14700,3_5,Once_month,Pinterest|Reels_Shorts|YouTube,Dining_Out|Movies_OTT,Fully_Independent,Casual_Hobbyist,Want_To_Be,Unsure,Introvert,Instant,Close_Circle,No_Guidance,Skill_Building,Acrylic|Fluid_Pour|Indian_Classical|Mandala,Yoga_Wellness,Fluid_Kit|Monthly_Box|Resin_Kit|Session_Kit,Evening|Flexible|Morning,4,Colleagues,Occasionally,Walking_5min,,400_700,622,0,First_Free,2,3,Google_Search,Home_OTT,Once_month,7,Interested,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
AURA_0023,18_24,Female,Pune,Tier1,Self_Employed,1L_2L,150000,English,3800,1_2,Rarely,Instagram|YouTube,Dining_Out|Mall_Shopping,Consult_Partner,Curious_Beginner,Want_To_Be,Fixed,Ambivert,Instant,Definitely_Post,No_Guidance,Content_Creation,Acrylic|Fluid_Pour|Resin,Cooking_Class|Gaming_Zone|Pottery_Studio,Session_Kit,Flexible|Morning|Weekend_Only,4,Partner,Occasionally,15min,Mall,Above_1200,1676,0,Bundle_Pack,2,4,Google_Search,Gaming,Once_Try,9,Interested,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AURA_0024,25_34,Male,Ahmedabad,Tier1,Salaried_IT,1L_2L,150000,Hindi,9100,3_5,2_3_month,Instagram,Art_Craft|Dining_Out|Fitness|Mall_Shopping,Fully_Independent,Curious_Beginner,Somewhat_Creative,Growth,Introvert,Delayed,Definitely_Post,No_Time,Stress_Relief,Digital_Art|Indian_Classical|Mandala|Resin|Watercolour,Yoga_Wellness,Gift_Bundle|Monthly_Box|Resin_Kit|Session_Kit|Watercolour_Set,Evening|Lunch,3,Colleagues,Occasionally,30min,Mall,700_1200,1187,0,Monthly_Pass,2,4,WhatsApp,Cafe_Chill,2_3_month,7,Interested,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0
AURA_0025,25_34,Male,Pune,Tier1,Salaried_IT,50k_1L,75000,,5000,3_5,Once_month,Instagram|Pinterest|YouTube,Movies_OTT|Socialising,Fully_Independent,Casual_Hobbyist,Am_Creative,Unsure,Ambivert,Delayed,Close_Circle,No_Barrier,Pure_Curiosity,Fluid_Pour|Resin,Art_Workshop,Heritage_Kit|Watercolour_Set,Flexible|Lunch|Weekend_Only,3,Partner,Occasionally,,Standalone_Studio,200_400,433,2250,First_Free,3,4,Instagram,Multiplex,2_3_month,9,Interested,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AURA_0026,35_44,Male,Ahmedabad,Tier1,Salaried_NonIT,50k_1L,75000,,8500,0,Rarely,YouTube,Dining_Out|Movies_OTT|Travel,Fully_Independent,Advanced,Somewhat_Creative,Growth,Introvert,Delayed,Probably_Post,Too_Expensive,Skill_Building,Calligraphy|Mandala|Resin,VR_Experience,Fluid_Kit,Afternoon|Evening|Weekend_Only,3,Solo,Rarely,No_Limit,,700_1200,1157,1750,Monthly_Pass,4,3,Google_Search,Mall_Walk,Once_Try,6,Maybe,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
AURA_0027,18_24,Female,Delhi_NCR,Tier1,Self_Employed,Above_2L,300000,,18900,3_5,2_3_month,Instagram,Fitness|Gaming|Music,Fully_Independent,Casual_Hobbyist,Want_To_Be,Growth,Extrovert,Instant,Definitely_Post,Too_Expensive,Skill_Building,Indian_Classical|Mandala|Pottery|Watercolour,Art_Workshop,Fluid_Kit|Heritage_Kit|Mandala_Kit|Monthly_Box|Sketchbook,Afternoon|Evening|Weekend_Only,5,Depends,Rarely,15min,Office_Campus,700_1200,1225,10250,,2,4,Corporate_HR,Home_OTT,2_3_month,7,Interested,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
AURA_0028,25_34,Non_binary,Bengaluru,Tier1,Salaried_IT,50k_1L,75000,Bilingual,6800,3_5,Once_month,,Fitness|Gaming|Mall_Shopping|Reading|Travel,Fully_Independent,Advanced,Am_Creative,Growth,Introvert,Instant,Probably_Post,No_Time,Stress_Relief,Digital_Art|Fluid_Pour|Resin|Sketching,Cooking_Class|Escape_Room|Music_Dance|None,App_Sub|Session_Kit,Evening|Lunch,4,Friends,Occasionally,60min,Office_Campus,400_700,889,2750,Monthly_Pass,3,5,Corporate_HR,Home_OTT,Weekly,9,Interested,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
AURA_0029,25_34,Male,Pune,Tier1,Self_Employed,50k_1L,75000,,5700,3_5,Once_month,YouTube,Dining_Out|Mall_Shopping|Music|Reading|Travel,Consult_Partner,Curious_Beginner,Am_Creative,Growth,Introvert,Both,Keep_Private,No_Barrier,Pure_Curiosity,Indian_Classical,Art_Workshop,Monthly_Box,Evening|Morning,3,Colleagues,Occasionally,30min,Standalone_Studio,700_1200,1061,0,Festival_Offer,3,4,Word_of_Mouth,Multiplex,Occasionally,8,Interested,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
AURA_0030,Under_18,Female,Delhi_NCR,Tier1,Student,50k_1L,75000,English,3800,0,Occasionally,LinkedIn|Pinterest,Dining_Out|Fitness|Mall_Shopping,Fully_Independent,Casual_Hobbyist,Not_Creative,Fixed,Introvert,Instant,Probably_Post,Not_Interested,Professional_Growth,Acrylic|Fluid_Pour|Indian_Classical|Resin,Cooking_Class|Yoga_Wellness,Watercolour_Set,Weekend_Only,5,Friends,,30min,Cafe_CoWork,400_700,805,0,Monthly_Pass,4,4,Corporate_HR,Multiplex,Unlikely,5,Not_Interested,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AURA_0031,25_34,Male,Pune,Tier1,Self_Employed,50k_1L,75000,Marathi,2600,1_2,Occasionally,Instagram|Pinterest|YouTube,Dining_Out|Gaming|Reading,Mention_After,Complete_Beginner,Want_To_Be,Growth,Ambivert,Delayed,Definitely_Post,Social_Anxiety,Content_Creation,Fluid_Pour|Indian_Classical|Mandala|Resin|Sketching,Cooking_Class|Music_Dance|None|Yoga_Wellness,Mandala_Kit|Watercolour_Set,Lunch|Weekend_Only,4,Solo,Frequently,30min,Standalone_Studio,700_1200,1002,0,Group_Discount,4,3,Instagram,Multiplex,Once_month,7,Interested,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
AURA_0032,18_24,Female,Mumbai,Tier1,Student,25k_50k,37500,Bilingual,2500,3_5,Occasionally,LinkedIn,Fitness|Gaming|Mall_Shopping|Socialising,Fully_Independent,Casual_Hobbyist,Somewhat_Creative,Growth,Introvert,Both,Probably_Post,Too_Expensive,Pure_Curiosity,Fluid_Pour|Indian_Classical|Mandala|Resin|Watercolour,Gaming_Zone|Music_Dance|None|Yoga_Wellness,Session_Kit|Watercolour_Set,Lunch,3,Family_Kids,Occasionally,60min,Office_Campus,700_1200,1087,1250,Festival_Offer,4,4,Mall_Display,Mall_Walk,Occasionally,5,Interested,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AURA_0033,18_24,Male,Bengaluru,Tier1,Salaried_NonIT,25k_50k,37500,Bilingual,1200,3_5,Occasionally,None|Reels_Shorts,Music|Socialising,Mention_After,Casual_Hobbyist,Not_Creative,Fixed,Introvert,Delayed,Definitely_Post,Not_Interested,Pure_Curiosity,Acrylic|Mandala|Sketching,Music_Dance|None,Fluid_Kit|Mandala_Kit|Session_Kit,Afternoon|Evening,5,Solo,Frequently,30min,Mall,200_400,554,0,Bundle_Pack,4,3,Other,Home_OTT,Unlikely,5,Not_Interested,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AURA_0034,45_54,Non_binary,Other_T3,Tier3,Salaried_NonIT,Below_25k,15000,Marathi,1500,0,Rarely,YouTube,Art_Craft|Dining_Out|Mall_Shopping|Music|Travel,Fully_Independent,Regular_Hobbyist,Somewhat_Creative,Unsure,Ambivert,Instant,Keep_Private,Too_Expensive,Skill_Building,Calligraphy|Digital_Art|Pottery|Sketching,Art_Workshop|Escape_Room|None|Yoga_Wellness,App_Sub|Fluid_Kit|Monthly_Box|Session_Kit|Watercolour_Set,Evening,2,Friends,Never,60min,Cafe_CoWork,Below_200,212,500,First_Free,4,2,Corporate_HR,Multiplex,Occasionally,4,Maybe,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
AURA_0035,55_plus,Female,Bengaluru,Tier1,Homemaker,50k_1L,75000,Hindi,4200,3_5,Once_month,LinkedIn,Fitness|Mall_Shopping|Reading,Fully_Independent,Advanced,Am_Creative,Unsure,Introvert,Delayed,Keep_Private,No_Time,Professional_Growth,Pottery,Cooking_Class|Escape_Room|Pottery_Studio|Yoga_Wellness,Mandala_Kit|Resin_Kit|Session_Kit|Sketchbook|Watercolour_Set,Morning,1,Partner,Occasionally,30min,College_Campus,400_700,787,1000,First_Free,4,2,Corporate_HR,Mall_Walk,Unlikely,9,Not_Interested,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
