respondent_id,age_group,gender,city,city_tier,occupation,income_bracket,income_numeric_approx,preferred_language,monthly_leisure_spend,subscription_count,online_exp_purchase_freq,social_platforms,weekend_activities,decision_autonomy,art_experience_level,creative_self_identity,creativity_mindset,social_orientation,reward_preference,social_sharing_propensity,participation_barrier,creative_motivation,art_forms_interest,experiences_tried,product_interest,preferred_visit_time,instagram_influence_score,companion_type,gifting_frequency,travel_tolerance,preferred_pod_location,session_wtp,session_wtp_numeric,monthly_art_spend,discount_preference,price_sensitivity_score,tech_comfort_score,acquisition_source,competitive_substitute,visit_frequency_intent,recommend_likelihood,aura_interest_label,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising,credential_motivation,motivation_type,community_feature_appeal,subscription_wtp,subscription_wtp_numeric,artbox_wtp,artbox_wtp_numeric,purchase_style,session_format_preference,preferred_session_duration,tech_comfort_score_s2,concept_nps_score,top_valued_feature,gifting_intent,open_conversion_requirement,referral_propensity,subscription_intent_label
AURA_0012,55_plus,Male,Delhi_NCR,Tier1,Homemaker,25k_50k,37500,English,2500,6_plus,Weekly,None,Art_Craft|Fitness|Music,Fully_Independent,Regular_Hobbyist,Somewhat_Creative,Growth,Extrovert,Both,Keep_Private,Social_Anxiety,Skill_Building,Fluid_Pour|Pottery,Escape_Room|VR_Experience,Watercolour_Set,Afternoon|Lunch,1,Friends,Occasionally,60min,Office_Campus,400_700,751,1750,Bundle_Pack,5,2,Corporate_HR,Home_OTT,Once_month,4,Interested,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Moderate,Social_Content,Yes_Somewhat,99_199,149,499_799,649,Planned,Challenge_Mode,60_min,3,8,Indian_Art_Content,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Pay_Per_Session
AURA_0013,35_44,Female,Pune,Tier1,Other,50k_1L,75000,English,5600,3_5,Once_month,YouTube,Gaming|Reading,Mention_After,Curious_Beginner,Want_To_Be,Growth,Ambivert,Delayed,Probably_Post,Too_Expensive,Skill_Building,Digital_Art|Fluid_Pour|Indian_Classical|Watercolour,Music_Dance,Mandala_Kit|Session_Kit|Watercolour_Set,Flexible,3,Solo,Occasionally,60min,Cafe_CoWork,400_700,766,0,Monthly_Pass,3,3,Instagram,Home_OTT,Once_month,6,Interested,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Strong_Yes,Quality_Time,Yes_Strongly,349_499,424,299_499,399,Planned,Guided_Freestyle,90_min,3,9,Supply_Quality,No,The AI coaching should feel like a real teacher,Maybe,Pay_Per_Session
AURA_0014,18_24,Male,Mumbai,Tier1,Student,Below_25k,15000,Hindi,500,1_2,Occasionally,Instagram|Pinterest|YouTube,Fitness|Gaming|Mall_Shopping|Socialising,Fully_Independent,Complete_Beginner,Want_To_Be,Unsure,Introvert,Instant,Definitely_Post,No_Guidance,Skill_Building,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Resin,Gaming_Zone|Pottery_Studio,App_Sub,Afternoon|Evening,4,Solo,Rarely,30min,College_Campus,400_700,734,0,Bundle_Pack,4,4,Mall_Display,Mall_Walk,Occasionally,6,Interested,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,Moderate,Quality_Time,Neutral,99_199,149,799_1199,999,Offer_Driven,Guided_Stepwise,20_min,4,8,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,Probably,Pay_Per_Session
AURA_0015,18_24,Male,Chennai,Tier1,Student,25k_50k,37500,English,4000,1_2,Once_month,Instagram|Pinterest|YouTube,Dining_Out|Fitness|Mall_Shopping|Movies_OTT|Reading,Mention_After,Regular_Hobbyist,Somewhat_Creative,Unsure,Introvert,Instant,Probably_Post,No_Time,Stress_Relief,Mandala|Resin|Watercolour,Cooking_Class|None,Fluid_Kit|Heritage_Kit|Session_Kit,Evening,4,Solo,Never,15min,Mall,400_700,659,1250,,4,4,Instagram,Mall_Walk,Weekly,8,Interested,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,Moderate,Wellness,No,No_Subscription,0,799_1199,999,Planned,Guided_Freestyle,45_min,4,9,AI_Coaching,,Kids mode is a must for my family visits,Probably,Pay_Per_Session
AURA_0016,18_24,Male,Mumbai,Tier1,Salaried_NonIT,1L_2L,150000,Marathi,4300,6_plus,2_3_month,Pinterest|Reels_Shorts|YouTube,,Mention_After,Curious_Beginner,Somewhat_Creative,Growth,Extrovert,Both,Keep_Private,No_Barrier,,Digital_Art|Fluid_Pour,Cooking_Class|Escape_Room|Gaming_Zone|None,Sketchbook,Morning,3,Colleagues,Occasionally,15min,Standalone_Studio,700_1200,940,0,Group_Discount,2,3,Google_Search,Mall_Walk,Once_month,5,Interested,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Not_Motivated,Social_Content,Neutral,349_499,424,499_799,649,Planned,Meditative,45_min,2,10,AI_Coaching,Probably,The AI coaching should feel like a real teacher,No,Pay_Per_Session
AURA_0017,18_24,Male,Lucknow,Tier2,Student,25k_50k,37500,,1700,1_2,Rarely,Pinterest|Reels_Shorts,Art_Craft|Movies_OTT,Mention_After,Curious_Beginner,Want_To_Be,Growth,Extrovert,Instant,Probably_Post,Social_Anxiety,Pure_Curiosity,Calligraphy,Escape_Room,App_Sub|Gift_Bundle|Watercolour_Set,Evening,5,Solo,Rarely,15min,Cafe_CoWork,200_400,478,0,No_Discount,3,5,Instagram,Mall_Walk,Once_Try,6,Interested,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,Strong_Yes,Status_Signal,Yes_Strongly,199_349,274,799_1199,999,Social_Proof,Guided_Freestyle,60_min,4,9,Supply_Quality,Definitely,"I want to learn Madhubani properly, not just doodle",Probably,Try_Free_Trial
AURA_0019,25_34,Male,Mumbai,Tier1,Salaried_NonIT,50k_1L,75000,Marathi,5300,1_2,2_3_month,Instagram,Gaming|Mall_Shopping|Movies_OTT|Socialising|Travel,Mention_After,Casual_Hobbyist,Am_Creative,Growth,Ambivert,Instant,Probably_Post,No_Barrier,Pure_Curiosity,Acrylic|Digital_Art|Fluid_Pour|Sketching|Watercolour,Escape_Room|None|Pottery_Studio|Yoga_Wellness,Mandala_Kit|Session_Kit,Evening,4,Friends,Rarely,30min,Standalone_Studio,200_400,386,4750,First_Free,3,4,Word_of_Mouth,Gaming,Occasionally,8,Interested,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,99_199,149,499_799,649,Offer_Driven,Guided_Stepwise,90_min,4,7,AI_Coaching,Probably,Would love a monthly challenge or competition,Probably,Pay_Per_Session
AURA_0021,25_34,Female,Delhi_NCR,Tier1,Salaried_NonIT,50k_1L,75000,Hindi,2100,3_5,Rarely,Instagram|Reels_Shorts,Dining_Out|Mall_Shopping|Reading|Socialising,Mention_After,Regular_Hobbyist,Am_Creative,Growth,Introvert,Instant,Probably_Post,No_Barrier,Social_Fun,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Watercolour,Music_Dance,Heritage_Kit,Lunch,4,Solo,Occasionally,30min,Standalone_Studio,700_1200,1207,0,Monthly_Pass,3,4,WhatsApp,Cafe_Chill,2_3_month,8,Interested,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Strong_Yes,Status_Signal,Neutral,199_349,274,No_Box,0,Offer_Driven,Guided_Freestyle,60_min,5,7,Indian_Art_Content,Probably,Would love a monthly challenge or competition,Maybe,Subscribe_Immediately
AURA_0022,18_24,Female,Mumbai,Tier1,Self_Employed,Above_2L,300000,Marathi,14700,3_5,Once_month,Pinterest|Reels_Shorts|YouTube,Dining_Out|Movies_OTT,Fully_Independent,Casual_Hobbyist,Want_To_Be,Unsure,Introvert,Instant,Close_Circle,No_Guidance,Skill_Building,Acrylic|Fluid_Pour|Indian_Classical|Mandala,Yoga_Wellness,Fluid_Kit|Monthly_Box|Resin_Kit|Session_Kit,Evening|Flexible|Morning,4,Colleagues,Occasionally,Walking_5min,,400_700,622,0,First_Free,2,3,Google_Search,Home_OTT,Once_month,7,Interested,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,Strong_Yes,Social_Content,Yes_Strongly,349_499,424,499_799,649,Social_Proof,Guided_Freestyle,20_min,2,9,Pod_Aesthetics,Definitely,The AI coaching should feel like a real teacher,No,Try_Free_Trial
AURA_0023,18_24,Female,Pune,Tier1,Self_Employed,1L_2L,150000,English,3800,1_2,Rarely,Instagram|YouTube,Dining_Out|Mall_Shopping,Consult_Partner,Curious_Beginner,Want_To_Be,Fixed,Ambivert,Instant,Definitely_Post,No_Guidance,Content_Creation,Acrylic|Fluid_Pour|Resin,Cooking_Class|Gaming_Zone|Pottery_Studio,Session_Kit,Flexible|Morning|Weekend_Only,4,Partner,Occasionally,15min,Mall,Above_1200,1676,0,Bundle_Pack,2,4,Google_Search,Gaming,Once_Try,9,Interested,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Moderate,Intrinsic_Skill,Neutral,99_199,149,299_499,399,Impulse,Guided_Freestyle,45_min,5,9,Supply_Quality,Probably,The artwork should be worth showing — printable quality,Definitely,Try_Free_Trial
AURA_0024,25_34,Male,Ahmedabad,Tier1,Salaried_IT,1L_2L,150000,Hindi,9100,3_5,2_3_month,Instagram,Art_Craft|Dining_Out|Fitness|Mall_Shopping,Fully_Independent,Curious_Beginner,Somewhat_Creative,Growth,Introvert,Delayed,Definitely_Post,No_Time,Stress_Relief,Digital_Art|Indian_Classical|Mandala|Resin|Watercolour,Yoga_Wellness,Gift_Bundle|Monthly_Box|Resin_Kit|Session_Kit|Watercolour_Set,Evening|Lunch,3,Colleagues,Occasionally,30min,Mall,700_1200,1187,0,Monthly_Pass,2,4,WhatsApp,Cafe_Chill,2_3_month,7,Interested,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,Not_Motivated,Wellness,Yes_Strongly,349_499,424,299_499,399,Social_Proof,Meditative,45_min,5,8,Pod_Aesthetics,Probably,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_0025,25_34,Male,Pune,Tier1,Salaried_IT,50k_1L,75000,,5000,3_5,Once_month,Instagram|Pinterest|YouTube,Movies_OTT|Socialising,Fully_Independent,Casual_Hobbyist,Am_Creative,Unsure,Ambivert,Delayed,Close_Circle,No_Barrier,Pure_Curiosity,Fluid_Pour|Resin,Art_Workshop,Heritage_Kit|Watercolour_Set,Flexible|Lunch|Weekend_Only,3,Partner,Occasionally,,Standalone_Studio,200_400,433,2250,First_Free,3,4,Instagram,Multiplex,2_3_month,9,Interested,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Moderate,Wellness,Neutral,Below_99,60,No_Box,0,Social_Proof,Meditative,90_min,4,10,Supply_Quality,Maybe,"I want to learn Madhubani properly, not just doodle",Maybe,Not_Interested_Sub
AURA_0026,35_44,Male,Ahmedabad,Tier1,Salaried_NonIT,50k_1L,75000,,8500,0,Rarely,YouTube,Dining_Out|Movies_OTT|Travel,Fully_Independent,Advanced,Somewhat_Creative,Growth,Introvert,Delayed,Probably_Post,Too_Expensive,Skill_Building,Calligraphy|Mandala|Resin,VR_Experience,Fluid_Kit,Afternoon|Evening|Weekend_Only,3,Solo,Rarely,No_Limit,,700_1200,1157,1750,Monthly_Pass,4,3,Google_Search,Mall_Walk,Once_Try,6,Maybe,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Not_Motivated,Status_Signal,,199_349,274,299_499,399,Impulse,Challenge_Mode,60_min,2,6,Pod_Aesthetics,Probably,Integration with Instagram for direct sharing would be amazing,No,Try_Free_Trial
AURA_0027,18_24,Female,Delhi_NCR,Tier1,Self_Employed,Above_2L,300000,,18900,3_5,2_3_month,Instagram,Fitness|Gaming|Music,Fully_Independent,Casual_Hobbyist,Want_To_Be,Growth,Extrovert,Instant,Definitely_Post,Too_Expensive,Skill_Building,Indian_Classical|Mandala|Pottery|Watercolour,Art_Workshop,Fluid_Kit|Heritage_Kit|Mandala_Kit|Monthly_Box|Sketchbook,Afternoon|Evening|Weekend_Only,5,Depends,Rarely,15min,Office_Campus,700_1200,1225,10250,,2,4,Corporate_HR,Home_OTT,2_3_month,7,Interested,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,Not_Motivated,Intrinsic_Skill,No,Above_499,599,799_1199,999,Impulse,Guided_Stepwise,90_min,3,9,Skill_Progress,Definitely,The artwork should be worth showing — printable quality,Definitely,Subscribe_Immediately
AURA_0028,25_34,Non_binary,Bengaluru,Tier1,Salaried_IT,50k_1L,75000,Bilingual,6800,3_5,Once_month,,Fitness|Gaming|Mall_Shopping|Reading|Travel,Fully_Independent,Advanced,Am_Creative,Growth,Introvert,Instant,Probably_Post,No_Time,Stress_Relief,Digital_Art|Fluid_Pour|Resin|Sketching,Cooking_Class|Escape_Room|Music_Dance|None,App_Sub|Session_Kit,Evening|Lunch,4,Friends,Occasionally,60min,Office_Campus,400_700,889,2750,Monthly_Pass,3,5,Corporate_HR,Home_OTT,Weekly,9,Interested,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,Moderate,Wellness,Neutral,199_349,274,Below_299,199,Social_Proof,Meditative,45_min,5,7,Supply_Quality,No,Good quality brushes and paints — not cheap materials,Maybe,Subscribe_Immediately
AURA_0029,25_34,Male,Pune,Tier1,Self_Employed,50k_1L,75000,,5700,3_5,Once_month,YouTube,Dining_Out|Mall_Shopping|Music|Reading|Travel,Consult_Partner,Curious_Beginner,Am_Creative,Growth,Introvert,Both,Keep_Private,No_Barrier,Pure_Curiosity,Indian_Classical,Art_Workshop,Monthly_Box,Evening|Morning,3,Colleagues,Occasionally,30min,Standalone_Studio,700_1200,1061,0,Festival_Offer,3,4,Word_of_Mouth,Multiplex,Occasionally,8,Interested,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,Moderate,Social_Content,Yes_Strongly,199_349,274,799_1199,999,Offer_Driven,Challenge_Mode,60_min,5,10,Indian_Art_Content,Maybe,The artwork should be worth showing — printable quality,Maybe,Subscribe_Immediately
AURA_0031,25_34,Male,Pune,Tier1,Self_Employed,50k_1L,75000,Marathi,2600,1_2,Occasionally,Instagram|Pinterest|YouTube,Dining_Out|Gaming|Reading,Mention_After,Complete_Beginner,Want_To_Be,Growth,Ambivert,Delayed,Definitely_Post,Social_Anxiety,Content_Creation,Fluid_Pour|Indian_Classical|Mandala|Resin|Sketching,Cooking_Class|Music_Dance|None|Yoga_Wellness,Mandala_Kit|Watercolour_Set,Lunch|Weekend_Only,4,Solo,Frequently,30min,Standalone_Studio,700_1200,1002,0,Group_Discount,4,3,Instagram,Multiplex,Once_month,7,Interested,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Strong_Yes,Social_Content,No,99_199,149,499_799,649,Offer_Driven,Guided_Freestyle,45_min,2,7,Pod_Aesthetics,Definitely,Location in Phoenix Mall Wakad would be perfect,Definitely,Try_Free_Trial
